super_opeid,name,type,tier,iclevel,state,parq,share,kq5_cond_parq
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,1,.44357517,.045164712
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,2,.32679018,.084689856
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,3,.14371076,.070037611
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,4,.05970677,.11564407
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,5,.026217192,.19723283
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,1,.052441355,.27390283
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,2,.10103199,.24765149
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,3,.16393574,.20166177
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,4,.25824007,.31467104
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,5,.42435089,.3618724
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,1,.15455516,.096129663
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,2,.18715858,.1424761
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,3,.22549702,.16164011
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,4,.23676255,.20123436
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,5,.19602653,.22507203
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,1,.093524233,.17490003
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,2,.12291715,.24405494
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,3,.1753495,.25113821
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,4,.21152514,.25191447
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,5,.39668405,.29660493
1345,Adams State University,Public,Selective public,Four-year,CO,1,.12922439,.14582914
1345,Adams State University,Public,Selective public,Four-year,CO,2,.1855039,.16243257
1345,Adams State University,Public,Selective public,Four-year,CO,3,.24842876,.20204861
1345,Adams State University,Public,Selective public,Four-year,CO,4,.26087633,.20343369
1345,Adams State University,Public,Selective public,Four-year,CO,5,.17596665,.29156369
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,1,.087048024,.37433442
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,2,.12853861,.41274351
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,3,.15643388,.43504792
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,4,.22986455,.42808473
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,5,.39811498,.48624572
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,1,.11428819,.086981259
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,2,.17760713,.15208569
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,3,.25521886,.1610765
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,4,.29444924,.19302665
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,5,.1584366,.21631935
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,1,.060760289,.15741579
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,2,.11535594,.22423662
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,3,.20081325,.21611543
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,4,.28132689,.27507061
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,5,.34174353,.33869484
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,1,.025902087,.77881294
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,2,.11116548,.037713815
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,3,.25450274,.039753128
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,4,.40800014,.039508641
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,5,.20042956,.087077215
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,1,.15953134,.19706888
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,2,.21892074,.1366374
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,3,.26273358,.11231909
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,4,.2235292,.2689096
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,5,.13528517,.24817653
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,1,.12763435,.29661635
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,2,.21570545,.29117918
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,3,.2254377,.2723929
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,4,.27373475,.39186314
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,5,.15748784,.43868551
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,1,.072003044,.20477132
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,2,.12996751,.23168989
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,3,.15526837,.16329277
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,4,.226091,.33343729
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,5,.41667008,.33242187
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,1,.20115341,.08503487
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,2,.19178109,.1209877
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,3,.18350492,.11072987
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,4,.26164183,.14271766
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,5,.16191886,.18232098
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,1,.24356118,.17323409
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,2,.26432449,.18094863
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,3,.19608772,.21410379
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,4,.17628771,.22407177
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,5,.11973897,.29100159
