personid,treatment,performance,performance_pre,age,tenure,basewage,costofcommute,children,bedroom,expgroup,men,married
3906,1,0.28289628,0.084573008,33,96,1883.3334,8,yes,yes,1,0,1
4122,1,0.73823762,0.000449883,30,94,1700,18,no,no,1,0,0
4448,0,0.47159928,0.45590964,35,92,1750,10,yes,yes,0,0,1
4942,1,-0.25370544,0.91850978,27,82,1900,20,no,yes,1,0,1
5018,1,-0.60636842,-0.37744349,29,82,2138.8889,15,yes,yes,1,0,1
5614,1,0.42784104,0.36998031,32,79,1700,0,no,yes,1,1,1
6278,0,-0.10181741,-0.040052831,32,77,1700,12,yes,yes,0,0,1
6362,0,-0.62006259,0.65531898,29,82,1850,12,yes,yes,0,0,1
6364,0,-0.15948412,1.4090424,26,82,1900,12,yes,yes,0,0,1
7068,0,-0.98519993,0.27069876,28,72,1950,0,no,yes,0,0,1
7076,0,0.27197054,0.001532828,30,72,2100,0,yes,yes,0,0,1
7488,1,1.2493356,0.45098305,25,70,1800,18,no,yes,1,0,0
7720,0,-0.44645497,-0.68709767,25,70,1750,9,no,yes,0,0,0
8522,0,0.048102301,0.23950015,30,66,1733.3334,6,yes,yes,0,0,1
8834,0,0.84048772,0.32067874,22,66,1750,0,no,no,0,0,0
8854,1,0.96376872,0.65077931,22,66,1700,4,no,yes,1,0,0
8980,1,-1.132902,-0.031765454,25,65,1650,10,no,yes,1,0,0
9710,0,-0.0594288,-0.7188639,33,64,1783.3334,10,no,yes,0,0,1
10098,0,-1.0678972,0.076348521,28,63,2350,12,yes,yes,0,0,1
10226,1,-0.18998504,-0.25819916,22,62,1650,0,no,no,1,0,0
10356,1,0.16630831,0.2486563,27,62,1650,0,no,yes,1,1,0
10794,1,1.1161209,1.0376455,32,60,1750,5,yes,yes,1,0,1
10822,1,1.2743901,0.60906583,26,60,1600,4,no,yes,1,0,1
11348,0,-0.8844313,-0.84507102,25,59,1600,8,yes,yes,0,0,1
11390,0,0.54051858,0.87652707,31,59,1700,25,no,yes,0,1,1
11868,1,-0.46452656,0.15984595,30,57,1650,10,no,yes,1,1,0
12306,0,-0.94168812,-0.89031291,24,56,1650,14,no,yes,0,1,0
12426,0,-3.0309365,-0.69657344,30,56,1650,0,no,yes,0,0,1
12896,0,0.21159399,0.34794605,26,54,1700,10,no,yes,0,0,1
12974,1,0.39157498,0.046489317,22,54,1650,0,no,yes,1,0,0
13530,1,-0.047276225,-0.211109,29,53,1600,9.090909,no,yes,1,1,0
13574,1,2.205483,1.4744812,30,53,1700,10,yes,yes,1,1,1
13710,0,0.037181843,0.34256855,30,52,1650,5,yes,yes,0,1,1
13980,0,0.73175788,0.7973299,28,51,1650,6,no,yes,0,0,0
14048,1,0.29285932,0.59494865,28,51,1650,10,yes,yes,1,0,1
14220,0,0.65415722,0.85970801,28,51,1633.3334,12,yes,yes,0,1,1
14374,0,-0.090554394,-0.050977934,28,50,1650,10,no,yes,0,0,0
14382,0,0.95681667,0.66237736,26,50,1666.6666,10,yes,yes,0,0,1
14384,0,0.22371207,0.032493778,32,50,1650,8,no,yes,0,0,0
14522,1,-0.77942199,-0.96803975,29,50,1600,0,no,yes,1,1,0
14528,1,0.76418632,0.24274956,28,50,1600,25,yes,yes,1,0,1
14532,1,0.53640419,0.25117934,26,50,1650,10,no,yes,1,0,0
14556,0,1.1533629,1.0712498,26,50,1500,10,yes,yes,0,0,1
14678,1,0.14900902,-1.0820868,26,50,1827.7778,4,no,yes,1,1,1
15294,1,1.085644,0.57131052,25,49,1633.3334,4,no,yes,1,0,0
15444,0,-0.059380807,0.088463545,27,49,1650,11.818182,no,yes,0,0,1
16334,0,-0.64249092,0.91783959,30,47,1633.3334,25,yes,yes,0,1,1
16422,0,-1.6274393,-0.71160841,29,47,1600,10,yes,yes,0,0,1
16424,0,-0.56469876,0.050123475,22,47,1600,6,no,yes,0,0,0
16514,1,0.11748827,-0.23630759,28,47,1550,4,no,yes,1,1,0
16594,0,0.2002901,0.71361494,29,47,1550,20,yes,yes,0,0,1
16596,1,0.66911739,1.1186299,34,47,1650,5,yes,yes,1,1,1
17058,0,-0.7340892,-0.9042781,23,46,1600,8,no,yes,0,0,0
17160,0,0.30912352,0.46139476,27,46,1650,10,yes,yes,0,1,1
17172,0,-0.69071811,0.40110621,28,46,1600,12,no,yes,0,0,0
17722,1,-1.2853856,-1.0573406,24,45,1650,0,no,yes,1,1,0
17752,1,0.35670224,0.4628152,25,45,1650,0,no,yes,1,1,0
17812,0,-0.40717357,-0.19020593,28,45,2566.6667,12,yes,yes,0,1,1
17906,1,0.26825309,-0.78147089,27,45,1600,14,no,yes,1,0,1
18112,1,0.38036275,-0.061767481,27,44,1650,8,no,yes,1,0,0
18494,0,-0.40341794,-0.50067818,31,44,1600,15,no,yes,0,1,0
18502,0,-0.29144666,-0.72984731,26,44,1600,9,no,yes,0,1,1
19470,0,0.51122117,0.011098285,25,42,1650,0,no,yes,0,0,0
19482,1,-0.95363635,-0.071804918,23,42,1850,12,no,yes,1,1,0
19684,0,-0.61138296,-0.35024676,22,41,1600,14,no,yes,0,0,0
21604,0,0.059159901,-0.14736283,24,37,1600,16,no,yes,0,0,0
21648,0,-0.87316746,-0.57803303,26,37,1600,3.5,yes,yes,0,1,1
21654,1,0.85732853,0.62046653,29,37,1650,2,no,yes,1,0,0
21710,1,-0.7477656,-0.46703142,30,37,1600,4,no,yes,1,1,1
22022,0,-0.71328473,0.61049986,22,36,1755.5555,4,no,yes,0,0,0
22284,1,0.50563526,0.62982976,21,36,1600,0,yes,yes,1,0,1
23126,0,0.64812505,1.1817473,23,35,1600,6,no,yes,0,0,0
23136,1,-0.17407422,0.12801115,22,35,1600,3,no,yes,1,1,0
23228,1,1.2161572,0.87539351,23,35,1616.6666,0,no,yes,1,0,1
23622,1,1.5713433,1.3078856,25,35,1600,10,no,yes,1,1,0
23742,0,-0.75048006,-0.630301,21,35,1683.3334,8,no,yes,0,1,0
23772,1,-0.042336151,-0.40484375,21,35,1600,0,no,yes,1,1,0
24142,1,1.4030797,1.1921102,29,34,1600,12,no,yes,1,0,0
24146,0,-1.0754538,-0.66670072,24,34,1600,12,no,yes,0,1,0
24324,1,-1.286516,-0.27646011,23,34,1600,25,no,yes,1,1,0
24608,1,-0.32827559,-0.62254584,34,34,1650,3,yes,yes,1,0,1
25056,0,-0.21629551,-0.2744104,23,33,1600,2,no,yes,0,0,0
25258,0,-0.19756317,-0.13678674,26,33,1638.8889,4,no,yes,0,1,0
25520,1,-0.7363379,-0.76568514,24,32,1600,6,no,yes,1,1,0
25532,1,-0.34203726,-0.44592518,25,32,1583.3334,12,no,yes,1,1,0
25628,1,0.98725742,0.70293033,24,32,1583.3334,10,no,yes,1,0,0
25638,1,-0.11875881,0.044456609,26,32,1600,10,no,yes,1,0,0
