personid,wfh,age,tenure,grosswage,children,bedroom,commute,men,married,high_educ
3906,1,33,96,2.7375467,yes,yes,180,0,1,0
4122,1,30,94,4.0962458,no,no,180,0,0,0
4448,1,35,92,4.2692962,yes,yes,100,0,1,0
4942,1,27,82,5.2953954,no,yes,160,0,1,0
5018,1,29,82,1.3875899,yes,yes,240,0,1,0
5614,0,32,79,3.8260088,no,yes,80,1,1,0
6362,0,29,82,4.8947082,yes,yes,200,0,1,0
6364,1,26,82,6.2207456,yes,yes,180,0,1,0
7068,0,28,72,4.3418241,no,yes,40,0,1,1
7076,1,30,72,2.66415,yes,yes,120,0,1,1
7488,1,25,70,3.0722089,no,yes,240,0,0,0
7720,1,25,70,3.0483878,no,yes,180,0,0,1
8522,1,30,66,4.1922421,yes,yes,120,0,1,0
8834,0,22,66,3.6427166,no,no,60,0,0,0
8854,1,22,66,4.2592611,no,yes,60,0,0,0
8980,1,25,65,1.9734234,no,yes,120,0,0,0
9710,0,33,64,3.9029267,no,yes,120,0,1,0
10226,0,22,62,3.3343222,no,no,60,0,0,0
10356,0,27,62,3.7967179,no,yes,60,1,0,1
10794,1,32,60,4.1691942,yes,yes,120,0,1,0
10822,1,26,60,2.9962699,no,yes,70,0,1,0
11348,0,25,59,2.7525179,yes,yes,120,0,1,0
11390,1,31,59,4.7715454,no,yes,60,1,1,0
11868,1,30,57,2.7679133,no,yes,120,1,0,1
12306,0,24,56,3.4949443,no,yes,180,1,0,0
12426,0,30,56,2.8134468,no,yes,60,0,1,1
12896,0,26,54,4.3952889,no,yes,150,0,1,1
12974,1,22,54,3.8363302,no,yes,20,0,0,0
13530,1,29,53,2.9978867,no,yes,100,1,0,0
13710,1,30,52,3.8624947,yes,yes,120,1,1,1
13980,0,28,51,4.4680867,no,yes,120,0,0,0
14048,0,28,51,3.6995213,yes,yes,180,0,1,0
14374,1,28,50,3.3623633,no,yes,2.5,0,0,1
14382,1,26,50,5.1260633,yes,yes,190,0,1,1
14384,1,32,50,3.6653888,no,yes,180,0,0,1
14522,0,29,50,3.4024889,no,yes,40,1,0,0
14528,1,28,50,2.6626198,yes,yes,65,0,1,0
14532,1,26,50,2.9423811,no,yes,120,0,0,0
14556,0,26,50,3.7961645,yes,yes,120,0,1,1
14678,1,26,50,3.7973533,no,yes,60,1,1,1
15294,0,25,49,3.7159467,no,yes,80,0,0,0
15444,1,27,49,3.27178,no,yes,120,0,1,1
16424,1,22,47,3.1301768,no,yes,180,0,0,0
16514,1,28,47,2.3920667,no,yes,70,1,0,0
16594,0,29,47,3.6042979,yes,yes,160,0,1,1
16596,1,34,47,4.7260346,yes,yes,40,1,1,1
17160,0,27,46,3.3902433,yes,yes,180,1,1,1
17172,1,28,46,4.6419311,no,yes,240,0,0,1
17722,1,24,45,4.1951799,no,yes,120,1,0,0
17752,1,25,45,3.5489633,no,yes,60,1,0,1
17812,0,28,45,4.7051601,yes,yes,150,1,1,0
17906,1,27,45,2.5038145,no,yes,210,0,1,1
18112,1,27,44,2.7862556,no,yes,120,0,0,1
18494,0,31,44,3.2129254,no,yes,180,1,0,0
19470,0,25,42,3.5001233,no,yes,60,0,0,1
19482,0,23,42,2.7133322,no,yes,180,1,0,0
21604,0,24,37,3.0380278,no,yes,200,0,0,0
21648,1,26,37,2.6443167,yes,yes,75,1,1,1
21654,1,29,37,4.1014285,no,yes,80,0,0,1
21710,1,30,37,2.6169801,no,yes,90,1,1,1
22022,0,22,36,3.4560156,no,yes,120,0,0,0
22284,0,21,36,3.4786634,yes,yes,45,0,1,0
23126,0,23,35,4.2542796,no,yes,95,0,0,1
23136,1,22,35,3.1753633,no,yes,60,1,0,0
23228,1,23,35,3.9816256,no,yes,40,0,1,1
23622,1,25,35,4.1304722,no,yes,120,1,0,1
23772,0,21,35,3.6291912,no,yes,40,1,0,1
24142,1,29,34,4.9450345,no,yes,180,0,0,0
24146,1,24,34,3.2050078,no,yes,150,1,0,0
24608,1,34,34,3.8289921,yes,yes,20,0,1,0
25056,1,23,33,2.8689067,no,yes,40,0,0,0
25258,0,26,33,3.4368823,no,yes,120,1,0,0
25520,1,24,32,3.6391969,no,yes,60,1,0,0
25532,0,25,32,3.3970912,no,yes,180,1,0,0
25628,1,24,32,3.0696712,no,yes,120,0,0,0
25638,1,26,32,2.7953246,no,yes,120,0,0,1
25700,0,27,32,3.1886568,no,yes,30,1,0,1
25864,0,20,31,4.3348713,no,yes,40,0,0,1
25940,1,24,31,3.5226889,no,yes,100,0,1,0
25962,1,24,31,3.6365478,yes,yes,80,1,1,1
26328,0,22,31,3.6299655,no,no,30,1,0,0
26618,1,24,30,3.6763389,no,yes,40,1,0,0
27704,0,26,28,2.6993911,no,yes,30,0,0,1
28190,1,25,27,2.9674811,no,yes,60,0,0,0
28224,0,27,27,3.1292701,yes,yes,30,1,1,0
28226,0,23,27,2.3416898,no,yes,120,1,0,0
28470,1,24,27,3.0680244,no,yes,60,1,0,1
28492,1,24,27,4.2266932,no,yes,40,0,0,1
29172,1,26,26,2.8963332,no,yes,180,1,0,1
29216,0,26,26,2.9735067,no,yes,50,1,0,1
29248,0,27,26,2.7496324,yes,yes,40,1,1,0
29996,0,23,25,3.3534834,no,yes,60,1,1,0
30006,0,24,25,3.2888489,no,yes,60,0,0,0
30014,1,30,25,4.3416367,no,yes,50,1,0,0
30308,0,21,25,3.7130811,no,no,50,0,0,1
30972,1,27,24,2.8467743,no,yes,120,1,0,0
31136,0,23,24,2.6250567,no,yes,140,1,0,0
31230,1,24,24,2.9393754,no,yes,200,0,1,0
31292,1,27,24,3.6276512,no,yes,135,0,0,1
31796,1,24,24,3.8672733,no,yes,120,0,1,0
31888,1,27,23,3.249639,yes,yes,180,0,1,0
31936,0,25,23,2.4034512,no,yes,75,1,0,0
32590,1,28,23,2.6732466,no,yes,100,1,0,0
33128,1,21,22,3.7385809,no,yes,80,1,0,1
33278,1,20,22,2.275409,no,yes,180,0,0,0
33350,1,26,22,2.8910179,no,yes,120,1,0,1
33354,0,21,22,2.702929,no,yes,135,0,0,0
35344,1,22,20,2.8727365,no,yes,60,0,0,0
36032,1,22,19,2.3757291,no,yes,120,1,0,0
36288,0,25,19,2.84852,no,yes,30,1,0,1
36306,1,26,19,3.2344944,no,yes,80,1,0,1
36314,0,23,19,2.7280767,no,yes,75,1,0,0
36908,1,23,15,2.7428231,no,yes,60,1,0,0
37292,0,21,13,2.5126977,no,yes,180,0,0,0
37294,1,20,13,2.2425222,no,yes,80,0,0,0
